array,camera,site,buff_dist,vegetated_edge_roads,harvest_area,road_gravel_1l,conventional_seismic,tame_pasture,pipeline,road_gravel_2l,trail,well_bitumen,rough_pasture,well_aband,road_unclassified,crop,low_impact_seismic,clearing_unknown,cultivation_abandoned,road_paved_undiv_2l,road_unimproved,truck_trail,dugout,road_paved_undiv_1l,well_gas,vegetated_edge_railways,harvest_area_white_zone,country_residence,borrowpit_dry,rural_residence,borrowpit_wet,borrowpits,grvl_sand_pit,ris_reclaimed_temp,ris_clearing_unknown,ris_drainage,ris_mines_oilsands,ris_overburden_dump,ris_facility_operations,transmission_line,ris_tailing_pond,clearing_wellpad_unconfirmed,mines_oilsands,ris_soil_replaced,road_paved_1l,ris_oilsands_rms,ris_facility_unknown,ris_borrowpits,ris_transmission_line,ris_soil_salvaged,ris_road,ris_plant,urban_residence,facility_other,airp_runway,runway,ris_reclaimed_permanent,urban_industrial,lagoon,facility_unknown,residence_clearing,well_cased,road_unpaved_2l,road_paved_3l,surrounding_veg,rlwy_sgl_track,road_winter,sump,greenspace,road_paved_2l,well_other,canal,reservoir,well_cleared_not_confirmed,misc_oil_gas_facility,camp_industrial,ris_camp_industrial,oil_gas_plant,well_unknown,ris_utilities,cfo,recreation,campground,peat,golfcourse,landfill,transfer_station,mill,road_paved_div,rlwy_spur,well_cleared_not_drilled,open_pit_mine,well_oil,road_paved_4l,mines_pitlake,ris_reclaimed_certified,ris_windrow,tailing_pond,rlwy_mlt_track,rlwy_dbl_track,ris_waste,interchange_ramp,road_paved_5l,ris_airp_runway,fruit_vegetables,road_unpaved_1l,ris_reclaim_ready,ris_tank_farm,lc_class20,lc_class32,lc_class33,lc_class34,lc_class50,lc_class110,lc_class120,lc_class210,lc_class220,lc_class230
LU15,30,LU15_30,2750,0.0046453219999999995,0,0.0026284669999999998,0.007848017999999998,0,0.013156701,0,0,0.004425705,0,9.162100000000001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.626760000000001e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018309666000000002,0.011768460999999996,0.060370885,0,0.897767611,0.0017844030000000002,0.009998972999999998
LU15,31,LU15_31,2750,0.0047069469999999995,0,0.0025485000000000004,0.007898844,0,0.012473116999999999,0,1.8148600000000004e-4,0.003425527,0,9.162100000000001e-4,0,0,0,0.0031134049999999996,0,0,1.7945900000000003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.872939999999999e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.130819999999999e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008600759,0,0,0.020266431,0.009432229,0.06544883299999998,0,0.8835461669999999,0.0017844030000000002,0.010921177999999997
LU15,32,LU15_32,2750,0.003976195,0,0.0021418410000000002,0.00775273,0,0.010945642,0,3.5167900000000003e-4,0.003142747,0,9.039899999999999e-4,0,0,0,0.0031134049999999996,0,0,1.7945900000000003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.015669999999999e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.130819999999999e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021779191,0,0,0.017644134000000002,0.00745975,0.072538825,0,0.86158343,0.002765561,0.016229108999999995
LU15,20,LU15_20,2750,0.003096173,0,0.002678235,0.013864967,0,0.007175348999999999,0,1.8051200000000002e-4,0.0029766369999999994,0,0.001918316,0,0,0,2.6106900000000006e-4,0,0,1.16937e-4,0,0,0,0,0,0,0,6.99e-5,0,0,0,0.004776875999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2629600000000004e-4,0,0,0,0,0,0.001582313,0,0,8.70862e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3159900000000004e-4,0,0,0.021829840999999996,0.041838253000000006,0.06725614900000002,0,0.6136046770000001,0.089963513,0.16537596899999998
LU15,21,LU15_21,2750,0.0031155359999999995,0,0.0027865420000000004,0.011284634,0,0.008313108999999999,0,1.82865e-4,0.003766439,0,8.224450000000001e-4,0,0,0,7.49e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021764159999999996,0,0,8.666190000000002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001061167,0.022449540999999996,0.06211309700000001,0.026028045000000003,0,0.6378856930000001,0.083467629,0.166994828
LU15,23,LU15_23,2750,0.004763698000000001,0,0.0037143040000000003,0.015125337999999997,0,0.010075809000000002,0,1.8051200000000002e-4,0.0032875950000000004,0,0.001057849,0,0,0,2.7976300000000004e-4,0,0,3.86878e-4,0,0,0,0,0,0,0,6.99e-5,0,0,0,0.004776875999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8038199999999996e-4,0,0,0,0,0,0,0,7.17111e-4,0,0,0,0,0,0.0018581129999999998,0,0,0.001549386,0,0,0,0.009040369,1.8720000000000002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001025677,0.028541464000000002,0.09867170200000001,0.050443917000000005,0,0.5684145629999999,0.09842677500000002,0.15447590100000003
LU15,41,LU15_41,2750,0.006596065,0,0.005117753,0.015806274999999998,0,0.01758623,0,6.51e-5,0.005794566999999999,0,3.52972e-4,0,0,0,0.001572554,0,0,4.239080000000001e-4,0,0,0,0,0,0,0,4.46614e-4,0,0,0,0.004776875999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8038199999999996e-4,0,0,0,0,0,0,0,7.17111e-4,0,0,0,0,0,0.003024457,0,0,0.0026555249999999997,0,0,0,0.009040369,0.001587638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332843,0.038931307000000005,0.18341407,0.056469737,0,0.5675240380000001,0.055083253,0.095249165
LU15,25,LU15_25,2750,0.0031138319999999995,0,0.0027683800000000004,0.009371267999999999,0,0.011842551,0,2.3499999999999995e-6,0.004366932,0,0.0011878690000000003,0,0,0,0,0,0,0,0,0,0,1.9161999999999998e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23719e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021764159999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001061167,0.022044295,0.148556596,0.090177442,0,0.688774405,0.005854161,0.043531934
LU15,09,LU15_09,2750,0.003186818,0,0.002820371,0.009425923999999997,0,0.009229409999999999,0,2.3499999999999995e-6,0.004368154,0,0.001319023,0,0,0,0,0,0,0,0,0,0,1.9161999999999998e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23719e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021764159999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001061167,0.022272838999999996,0.155827978,0.071585539,0,0.6470592660000001,0.026074486000000004,0.07611872600000001
LU15,24,LU15_24,2750,0.0038329519999999997,0,0.0033242560000000003,0.012488580999999999,0,0.008686889000000001,0,1.8051200000000002e-4,0.004506248,0,0.0014752549999999998,0,0,0,2.6106900000000006e-4,0,0,1.16937e-4,0,0,0,0,0,0,0,6.99e-5,0,0,0,0.004776875999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2629600000000004e-4,0,0,0,0,0,0.0030660500000000003,0,0,8.666190000000002e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.034639999999999e-4,0.02682422,0.04114217900000001,0.028292248999999995,0,0.5755333659999999,0.131581374,0.19592314800000002
