array,site,long,lat,easting_12n,northing_12n,camera,start_date,end_date,camera_failure_details
LU3,LU3_28,-110.88772999999999,55.55154399999999,507082.8961920753,6156175.20210105,28,2021-07-09,2022-02-02,NA
LU3,LU3_32,-111.20451000000001,55.40952,487051.38526526967,6140382.962538892,32,2021-07-08,2022-02-03,NA
LU3,LU3_36,-111.22414,55.44785999999999,485822.25189025747,6144653.516965243,36,2021-07-10,2022-02-04,NA
LU3,LU3_38,-110.76387,55.44705999999999,514936.46408868744,6144566.99640336,38,2021-07-09,2022-02-02,NA
LU3,LU3_39,-111.23818,55.46641,484941.23648513545,6146720.842725276,39,2021-07-10,2022-02-04,NA
LU3,LU3_40,-111.16615,55.47251000000001,489496.89896806446,6147386.458834506,40,2021-07-10,2022-02-04,NA
LU3,LU3_41,-111.16666000000001,55.461859999999994,489461.81950414,6146201.325079897,41,2021-07-10,2022-02-04,NA
LU3,LU3_44,-110.84864,55.501310000000004,509561.181555201,6150589.413188099,44,2021-07-10,2022-06-11,NA
LU3,LU3_45,-110.96503,55.517469999999996,502208.0980088377,6152377.980253921,45,2021-07-08,2022-02-03,NA
LU3,LU3_46,-110.89555,55.5084,506596.76396790316,6151372.994819645,46,2021-07-09,2022-02-02,NA
LU3,LU3_48,-111.09771,55.54892,493835.25491279067,6155881.791647588,48,2021-07-08,2022-06-12,NA
LU3,LU3_50,-111.03035,55.551649999999995,498085.28220603854,6156181.694458925,50,2021-07-08,2022-02-03,NA
LU3,LU3_51,-110.82767,55.55753,510870.30915735435,6156849.138287979,51,2021-07-09,2022-02-02,NA
LU3,LU3_52,-110.89193,55.56306,506815.9329059855,6157456.387839948,52,2021-07-09,2022-02-02,NA
LU3,LU3_49,-111.07930999999999,55.55693,494997.1698275393,6156771.738574815,49,2021-07-08,2022-02-03,NA
LU13,LU13_18,-111.59020000000001,57.179930000000006,464320.0739628832,6337569.614511734,18,2022-09-18,2023-09-27,NA
LU13,LU13_15,-111.59116000000002,57.140370000000004,464223.8632156805,6333166.465912139,15,2022-09-18,2023-09-27,NA
